player,death_time,deaths_amount,kills_amount,total_damage_dealt,total_damage_to_champions,pentakills,quadra_kills,triple_kills,skillshots_hit,first_blood_kill,dragon_takedowns,team_baron_kills,total_minions_killed,wards_placed,wards_killed,individual_position,champion_name,kda,epic_monster_steals
Reive,168,5,8,164203,30419,0,0,0,,False,1,0,232,13,3,MIDDLE,Viktor,2.4,0
Reive,310,9,3,137556,20613,0,0,0,,False,1,0,212,12,1,MIDDLE,Viktor,0.8888888888888888,0
Reive,326,7,9,176742,33969,0,0,0,,False,0,2,218,8,2,MIDDLE,Viktor,1.7142857142857142,0
Reive,173,5,11,215208,34132,0,0,0,,False,4,0,38,9,1,JUNGLE,Lillia,4.2,0
Reive,140,6,12,157342,29568,0,0,0,,False,0,1,212,9,5,MIDDLE,Viktor,3.5,0
Reive,157,6,7,77436,21242,0,0,0,,False,0,0,132,6,2,MIDDLE,Sylas,1.6666666666666667,0
Reive,200,7,1,128943,7339,0,0,0,,False,1,0,31,12,2,JUNGLE,LeeSin,0.7142857142857143,0
Reive,530,12,12,202172,48363,0,0,0,,False,0,1,215,9,5,MIDDLE,Viktor,2.4166666666666665,0
Reive,70,4,2,70039,13201,0,0,0,,False,0,0,160,6,7,MIDDLE,Leblanc,1.25,0
Reive,138,4,2,105624,17192,0,0,0,,False,0,0,178,8,2,MIDDLE,Anivia,2.0,0
Reive,69,2,14,130393,40130,0,0,1,,False,0,0,154,5,0,MIDDLE,Anivia,14.5,0
